Start: 2015-06-22_00-09-07 
  Size       AUC
1 3811 0.7343398
elapsed 
  18.21 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_1_tr.csv.bin.pkl cache file
Train has 6530 instances (was 6530 before filtering)
      Iter       Train Loss   Remaining Time 
         1           0.3851           19.72s
         2           0.3837           15.36s
         3           0.3820           14.45s
         4           0.3806           14.15s
         5           0.3793           13.52s
         6           0.3781           13.20s
         7           0.3767           13.19s
         8           0.3753           13.22s
         9           0.3740           13.14s
        10           0.3727           12.98s
        11           0.3715           12.91s
        12           0.3701           13.02s
        13           0.3689           13.14s
        14           0.3676           13.12s
        15           0.3663           13.04s
        16           0.3652           12.96s
        17           0.3641           12.99s
        18           0.3630           12.88s
        19           0.3619           12.82s
        20           0.3608           12.73s
        21           0.3597           12.76s
        22           0.3586           12.78s
        23           0.3575           12.72s
        24           0.3565           12.83s
        25           0.3555           12.86s
        26           0.3545           12.88s
        27           0.3535           12.97s
        28           0.3526           12.97s
        29           0.3517           13.01s
        30           0.3508           13.03s
        31           0.3499           13.04s
        32           0.3489           13.18s
        33           0.3479           13.18s
        34           0.3470           13.18s
        35           0.3462           13.20s
        36           0.3453           13.35s
        37           0.3445           13.37s
        38           0.3435           13.39s
        39           0.3427           13.37s
        40           0.3419           13.36s
        41           0.3410           13.33s
        42           0.3402           13.35s
        43           0.3394           13.43s
        44           0.3386           13.42s
        45           0.3379           13.40s
        46           0.3371           13.39s
        47           0.3363           13.35s
        48           0.3356           13.32s
        49           0.3348           13.30s
        50           0.3340           13.25s
        51           0.3332           13.23s
        52           0.3325           13.24s
        53           0.3317           13.18s
        54           0.3309           13.15s
        55           0.3302           13.12s
        56           0.3295           13.10s
        57           0.3288           13.10s
        58           0.3280           13.07s
        59           0.3273           13.07s
        60           0.3265           13.06s
        61           0.3258           13.05s
        62           0.3252           13.01s
        63           0.3245           12.98s
        64           0.3239           12.94s
        65           0.3232           12.92s
        66           0.3225           12.91s
        67           0.3219           12.94s
        68           0.3212           12.89s
        69           0.3205           12.87s
        70           0.3199           12.88s
        71           0.3192           12.89s
        72           0.3185           12.87s
        73           0.3180           12.84s
        74           0.3173           12.83s
        75           0.3168           12.79s
        76           0.3162           12.79s
        77           0.3156           12.76s
        78           0.3150           12.73s
        79           0.3144           12.72s
        80           0.3138           12.72s
        81           0.3132           12.70s
        82           0.3126           12.67s
        83           0.3120           12.67s
        84           0.3115           12.65s
        85           0.3110           12.65s
        86           0.3104           12.64s
        87           0.3098           12.63s
        88           0.3092           12.63s
        89           0.3087           12.60s
        90           0.3081           12.59s
        91           0.3075           12.55s
        92           0.3070           12.54s
        93           0.3064           12.54s
        94           0.3059           12.52s
        95           0.3054           12.50s
        96           0.3049           12.49s
        97           0.3043           12.49s
        98           0.3037           12.46s
        99           0.3032           12.46s
       100           0.3026           12.43s
       101           0.3021           12.41s
       102           0.3016           12.40s
       103           0.3011           12.40s
       104           0.3006           12.39s
       105           0.3000           12.38s
       106           0.2996           12.36s
       107           0.2991           12.34s
       108           0.2985           12.34s
       109           0.2980           12.34s
       110           0.2976           12.30s
       111           0.2971           12.29s
       112           0.2966           12.28s
       113           0.2962           12.26s
       114           0.2957           12.25s
       115           0.2952           12.24s
       116           0.2947           12.22s
       117           0.2944           12.21s
       118           0.2939           12.20s
       119           0.2934           12.19s
       120           0.2928           12.17s
       121           0.2924           12.15s
       122           0.2920           12.15s
       123           0.2916           12.13s
       124           0.2912           12.10s
       125           0.2907           12.10s
       126           0.2902           12.09s
       127           0.2898           12.08s
       128           0.2892           12.09s
       129           0.2888           12.07s
       130           0.2884           12.07s
       131           0.2879           12.06s
       132           0.2875           12.04s
       133           0.2871           12.03s
       134           0.2867           12.02s
       135           0.2863           12.00s
       136           0.2859           11.99s
       137           0.2855           11.97s
       138           0.2851           11.96s
       139           0.2846           11.96s
       140           0.2842           11.96s
       141           0.2838           11.95s
       142           0.2833           11.95s
       143           0.2829           11.95s
       144           0.2826           11.93s
       145           0.2821           11.93s
       146           0.2817           11.94s
       147           0.2813           11.95s
       148           0.2809           11.97s
       149           0.2805           11.98s
       150           0.2801           11.97s
       151           0.2797           11.98s
       152           0.2793           12.01s
       153           0.2790           12.02s
       154           0.2786           12.03s
       155           0.2782           12.05s
       156           0.2778           12.06s
       157           0.2775           12.08s
       158           0.2770           12.10s
       159           0.2766           12.13s
       160           0.2762           12.13s
       161           0.2758           12.14s
       162           0.2754           12.13s
       163           0.2750           12.14s
       164           0.2746           12.13s
       165           0.2743           12.12s
       166           0.2739           12.11s
       167           0.2735           12.09s
       168           0.2732           12.09s
       169           0.2728           12.08s
       170           0.2724           12.05s
       171           0.2721           12.05s
       172           0.2717           12.04s
       173           0.2714           12.03s
       174           0.2710           12.02s
       175           0.2707           12.01s
       176           0.2704           11.99s
       177           0.2700           11.98s
       178           0.2697           11.97s
       179           0.2694           11.96s
       180           0.2691           11.94s
       181           0.2688           11.93s
       182           0.2685           11.92s
       183           0.2681           11.90s
       184           0.2678           11.88s
       185           0.2674           11.87s
       186           0.2671           11.86s
       187           0.2667           11.86s
       188           0.2663           11.85s
       189           0.2660           11.84s
       190           0.2657           11.83s
       191           0.2654           11.81s
       192           0.2651           11.79s
       193           0.2648           11.77s
       194           0.2644           11.77s
       195           0.2640           11.76s
       196           0.2638           11.74s
       197           0.2635           11.73s
       198           0.2631           11.72s
       199           0.2628           11.71s
       200           0.2624           11.70s
       201           0.2621           11.69s
       202           0.2618           11.70s
       203           0.2614           11.71s
       204           0.2611           11.71s
       205           0.2608           11.72s
       206           0.2604           11.71s
       207           0.2601           11.71s
       208           0.2597           11.71s
       209           0.2594           11.71s
       210           0.2592           11.72s
       211           0.2589           11.70s
       212           0.2586           11.71s
       213           0.2583           11.70s
       214           0.2580           11.69s
       215           0.2577           11.68s
       216           0.2575           11.69s
       217           0.2572           11.68s
       218           0.2569           11.66s
       219           0.2566           11.66s
       220           0.2564           11.64s
       221           0.2562           11.65s
       222           0.2558           11.64s
       223           0.2556           11.62s
       224           0.2553           11.60s
       225           0.2550           11.59s
       226           0.2547           11.58s
       227           0.2544           11.57s
       228           0.2541           11.56s
       229           0.2538           11.54s
       230           0.2535           11.53s
       231           0.2533           11.52s
       232           0.2530           11.50s
       233           0.2528           11.48s
       234           0.2525           11.48s
       235           0.2522           11.47s
       236           0.2519           11.45s
       237           0.2516           11.44s
       238           0.2513           11.43s
       239           0.2511           11.42s
       240           0.2508           11.40s
       241           0.2505           11.40s
       242           0.2503           11.38s
       243           0.2500           11.36s
       244           0.2497           11.35s
       245           0.2495           11.34s
       246           0.2492           11.32s
       247           0.2489           11.32s
       248           0.2487           11.30s
       249           0.2484           11.29s
       250           0.2481           11.28s
       251           0.2478           11.27s
       252           0.2475           11.26s
       253           0.2472           11.24s
       254           0.2470           11.23s
       255           0.2468           11.22s
       256           0.2465           11.21s
       257           0.2463           11.20s
       258           0.2460           11.20s
       259           0.2458           11.19s
       260           0.2456           11.18s
       261           0.2454           11.16s
       262           0.2451           11.15s
       263           0.2448           11.15s
       264           0.2446           11.14s
       265           0.2443           11.14s
       266           0.2441           11.13s
       267           0.2438           11.11s
       268           0.2436           11.11s
       269           0.2433           11.10s
       270           0.2431           11.09s
       271           0.2428           11.07s
       272           0.2426           11.05s
       273           0.2424           11.03s
       274           0.2422           11.01s
       275           0.2419           11.00s
       276           0.2417           10.98s
       277           0.2414           10.98s
       278           0.2412           10.96s
       279           0.2409           10.94s
       280           0.2406           10.93s
       281           0.2404           10.92s
       282           0.2402           10.91s
       283           0.2399           10.89s
       284           0.2396           10.88s
       285           0.2394           10.86s
       286           0.2392           10.84s
       287           0.2388           10.83s
       288           0.2386           10.82s
       289           0.2383           10.81s
       290           0.2381           10.82s
       291           0.2378           10.82s
       292           0.2376           10.82s
       293           0.2373           10.81s
       294           0.2371           10.80s
       295           0.2369           10.78s
       296           0.2366           10.77s
       297           0.2364           10.75s
       298           0.2362           10.73s
       299           0.2360           10.72s
       300           0.2357           10.70s
       301           0.2355           10.70s
       302           0.2353           10.69s
       303           0.2351           10.67s
       304           0.2348           10.65s
       305           0.2346           10.64s
       306           0.2344           10.63s
       307           0.2342           10.63s
       308           0.2339           10.62s
       309           0.2337           10.61s
       310           0.2335           10.60s
       311           0.2333           10.59s
       312           0.2331           10.58s
       313           0.2328           10.57s
       314           0.2326           10.56s
       315           0.2324           10.54s
       316           0.2322           10.53s
       317           0.2320           10.53s
       318           0.2318           10.52s
       319           0.2316           10.50s
       320           0.2314           10.49s
       321           0.2312           10.47s
       322           0.2310           10.46s
       323           0.2308           10.44s
       324           0.2306           10.43s
       325           0.2304           10.41s
       326           0.2302           10.40s
       327           0.2300           10.37s
       328           0.2298           10.36s
       329           0.2296           10.35s
       330           0.2293           10.34s
       331           0.2291           10.32s
       332           0.2290           10.31s
       333           0.2288           10.30s
       334           0.2285           10.28s
       335           0.2283           10.27s
       336           0.2281           10.26s
       337           0.2279           10.24s
       338           0.2277           10.23s
       339           0.2275           10.22s
       340           0.2273           10.20s
       341           0.2271           10.18s
       342           0.2269           10.17s
       343           0.2267           10.16s
       344           0.2265           10.14s
       345           0.2263           10.12s
       346           0.2261           10.11s
       347           0.2259           10.10s
       348           0.2257           10.08s
       349           0.2255           10.06s
       350           0.2253           10.05s
       351           0.2251           10.03s
       352           0.2248           10.02s
       353           0.2246           10.01s
       354           0.2244            9.99s
       355           0.2242            9.98s
       356           0.2240            9.96s
       357           0.2238            9.95s
       358           0.2236            9.94s
       359           0.2234            9.92s
       360           0.2232            9.90s
       361           0.2231            9.89s
       362           0.2229            9.88s
       363           0.2227            9.86s
       364           0.2225            9.85s
       365           0.2223            9.84s
       366           0.2222            9.83s
       367           0.2220            9.82s
       368           0.2218            9.81s
       369           0.2216            9.80s
       370           0.2214            9.79s
       371           0.2212            9.78s
       372           0.2211            9.77s
       373           0.2209            9.75s
       374           0.2207            9.74s
       375           0.2205            9.73s
       376           0.2203            9.72s
       377           0.2201            9.71s
       378           0.2199            9.69s
       379           0.2197            9.68s
       380           0.2195            9.66s
       381           0.2194            9.64s
       382           0.2192            9.63s
       383           0.2190            9.61s
       384           0.2188            9.60s
       385           0.2187            9.58s
       386           0.2185            9.57s
       387           0.2183            9.55s
       388           0.2181            9.54s
       389           0.2180            9.52s
       390           0.2178            9.51s
       391           0.2177            9.49s
       392           0.2175            9.48s
       393           0.2173            9.47s
       394           0.2171            9.46s
       395           0.2169            9.44s
       396           0.2168            9.43s
       397           0.2166            9.41s
       398           0.2164            9.40s
       399           0.2162            9.38s
       400           0.2160            9.37s
       401           0.2158            9.35s
       402           0.2157            9.34s
       403           0.2155            9.32s
       404           0.2153            9.31s
       405           0.2152            9.29s
       406           0.2151            9.27s
       407           0.2149            9.26s
       408           0.2147            9.24s
       409           0.2146            9.23s
       410           0.2144            9.21s
       411           0.2143            9.19s
       412           0.2141            9.17s
       413           0.2139            9.16s
       414           0.2138            9.15s
       415           0.2136            9.13s
       416           0.2134            9.12s
       417           0.2132            9.10s
       418           0.2131            9.09s
       419           0.2130            9.08s
       420           0.2128            9.07s
       421           0.2126            9.06s
       422           0.2125            9.05s
       423           0.2123            9.03s
       424           0.2121            9.02s
       425           0.2120            9.00s
       426           0.2118            9.00s
       427           0.2117            8.98s
       428           0.2115            8.97s
       429           0.2113            8.96s
       430           0.2112            8.94s
       431           0.2110            8.93s
       432           0.2109            8.92s
       433           0.2107            8.90s
       434           0.2106            8.88s
       435           0.2104            8.87s
       436           0.2103            8.86s
       437           0.2101            8.84s
       438           0.2100            8.83s
       439           0.2098            8.82s
       440           0.2097            8.81s
       441           0.2096            8.79s
       442           0.2094            8.78s
       443           0.2092            8.76s
       444           0.2091            8.74s
       445           0.2089            8.73s
       446           0.2088            8.71s
       447           0.2086            8.70s
       448           0.2085            8.68s
       449           0.2083            8.67s
       450           0.2082            8.66s
       451           0.2080            8.64s
       452           0.2079            8.63s
       453           0.2077            8.61s
       454           0.2076            8.60s
       455           0.2075            8.58s
       456           0.2073            8.57s
       457           0.2071            8.55s
       458           0.2070            8.54s
       459           0.2069            8.52s
       460           0.2067            8.51s
       461           0.2065            8.49s
       462           0.2064            8.48s
       463           0.2063            8.47s
       464           0.2061            8.46s
       465           0.2059            8.44s
       466           0.2058            8.43s
       467           0.2057            8.42s
       468           0.2055            8.41s
       469           0.2054            8.39s
       470           0.2052            8.37s
       471           0.2051            8.36s
       472           0.2049            8.35s
       473           0.2047            8.33s
       474           0.2046            8.32s
       475           0.2045            8.30s
       476           0.2043            8.29s
       477           0.2042            8.27s
       478           0.2041            8.26s
       479           0.2039            8.24s
       480           0.2038            8.23s
       481           0.2036            8.21s
       482           0.2035            8.20s
       483           0.2034            8.18s
       484           0.2032            8.16s
       485           0.2031            8.15s
       486           0.2030            8.14s
       487           0.2029            8.12s
       488           0.2027            8.10s
       489           0.2026            8.09s
       490           0.2024            8.07s
       491           0.2023            8.06s
       492           0.2022            8.05s
       493           0.2020            8.03s
       494           0.2019            8.02s
       495           0.2018            8.00s
       496           0.2016            7.99s
       497           0.2015            7.97s
       498           0.2014            7.96s
       499           0.2012            7.94s
       500           0.2011            7.93s
       501           0.2010            7.92s
       502           0.2009            7.90s
       503           0.2007            7.89s
       504           0.2006            7.88s
       505           0.2004            7.86s
       506           0.2003            7.85s
       507           0.2001            7.84s
       508           0.2000            7.82s
       509           0.1999            7.81s
       510           0.1998            7.79s
       511           0.1996            7.78s
       512           0.1995            7.76s
       513           0.1994            7.75s
       514           0.1992            7.74s
       515           0.1991            7.72s
       516           0.1989            7.71s
       517           0.1988            7.69s
       518           0.1987            7.68s
       519           0.1986            7.66s
       520           0.1984            7.65s
       521           0.1983            7.63s
       522           0.1982            7.62s
       523           0.1980            7.60s
       524           0.1979            7.59s
       525           0.1978            7.57s
       526           0.1977            7.56s
       527           0.1975            7.54s
       528           0.1974            7.53s
       529           0.1973            7.52s
       530           0.1971            7.50s
       531           0.1970            7.49s
       532           0.1969            7.47s
       533           0.1967            7.46s
       534           0.1966            7.44s
       535           0.1965            7.43s
       536           0.1964            7.41s
       537           0.1963            7.40s
       538           0.1962            7.39s
       539           0.1960            7.37s
       540           0.1959            7.36s
       541           0.1958            7.34s
       542           0.1957            7.32s
       543           0.1955            7.31s
       544           0.1954            7.29s
       545           0.1953            7.28s
       546           0.1951            7.26s
       547           0.1950            7.25s
       548           0.1949            7.24s
       549           0.1947            7.22s
       550           0.1946            7.21s
       551           0.1945            7.19s
       552           0.1944            7.18s
       553           0.1943            7.16s
       554           0.1941            7.14s
       555           0.1940            7.13s
       556           0.1939            7.11s
       557           0.1938            7.10s
       558           0.1936            7.08s
       559           0.1935            7.07s
       560           0.1934            7.05s
       561           0.1933            7.04s
       562           0.1931            7.02s
       563           0.1930            7.01s
       564           0.1928            6.99s
       565           0.1927            6.98s
       566           0.1926            6.96s
       567           0.1925            6.95s
       568           0.1924            6.93s
       569           0.1923            6.91s
       570           0.1922            6.90s
       571           0.1920            6.88s
       572           0.1919            6.87s
       573           0.1918            6.85s
       574           0.1917            6.84s
       575           0.1916            6.82s
       576           0.1915            6.81s
       577           0.1913            6.79s
       578           0.1912            6.78s
       579           0.1911            6.76s
       580           0.1909            6.75s
       581           0.1908            6.74s
       582           0.1907            6.72s
       583           0.1906            6.70s
       584           0.1904            6.69s
       585           0.1903            6.67s
       586           0.1902            6.65s
       587           0.1901            6.64s
       588           0.1900            6.62s
       589           0.1899            6.61s
       590           0.1898            6.59s
       591           0.1897            6.58s
       592           0.1896            6.56s
       593           0.1895            6.55s
       594           0.1893            6.53s
       595           0.1892            6.51s
       596           0.1891            6.49s
       597           0.1890            6.48s
       598           0.1889            6.46s
       599           0.1888            6.45s
       600           0.1887            6.43s
       601           0.1886            6.42s
       602           0.1885            6.40s
       603           0.1884            6.38s
       604           0.1883            6.37s
       605           0.1882            6.35s
       606           0.1881            6.33s
       607           0.1879            6.32s
       608           0.1879            6.30s
       609           0.1877            6.29s
       610           0.1876            6.27s
       611           0.1875            6.26s
       612           0.1874            6.24s
       613           0.1874            6.23s
       614           0.1872            6.21s
       615           0.1872            6.19s
       616           0.1870            6.18s
       617           0.1869            6.16s
       618           0.1868            6.15s
       619           0.1867            6.13s
       620           0.1866            6.11s
       621           0.1865            6.10s
       622           0.1863            6.08s
       623           0.1862            6.07s
       624           0.1861            6.05s
       625           0.1860            6.04s
       626           0.1859            6.02s
       627           0.1858            6.00s
       628           0.1857            5.99s
       629           0.1856            5.97s
       630           0.1855            5.96s
       631           0.1854            5.94s
       632           0.1853            5.92s
       633           0.1852            5.91s
       634           0.1851            5.89s
       635           0.1850            5.88s
       636           0.1849            5.86s
       637           0.1848            5.85s
       638           0.1847            5.83s
       639           0.1846            5.81s
       640           0.1845            5.80s
       641           0.1844            5.78s
       642           0.1843            5.77s
       643           0.1842            5.75s
