Start: 2015-06-22_00-09-26 
  Size       AUC
1 2392 0.7835637
elapsed 
 16.953 
': False, 'model_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.pkl', 'bootstrap_seed': None, 'test_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test.csv', 'train_filter': {}, 'test_metric': 'auc', 'test_pred_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_test_pred.csv', 'model_type': 'GradientBoostingClassifier', 'load_model': False, 'test_data_file2': None, 'load_type': 'fit_more', 'test_pred_file2': None, 'skip_mapping': True, 'fit_args': {'loss': 'deviance', 'verbose': 50, 'learning_rate': 0.0035, 'n_estimators': 1000, 'subsample': 1, 'random_state': 788942, 'max_features': 8, 'max_depth': 7}, 'metric_type': 'auto', 'weight_col': None, 'train_data_file': '/Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv', 'na_fill_value': -20000}
Loading /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv raw file
Saving /Users/ef/Dropbox/westnile2015/final_code/west-niles-virus-r/../data/output-py/gbc_01/gbc_01_k_4_tr.csv.bin.pkl cache file
Train has 7811 instances (was 7811 before filtering)
      Iter       Train Loss   Remaining Time 
         1           0.3341           28.59s
         2           0.3330           21.02s
         3           0.3317           18.94s
         4           0.3305           19.02s
         5           0.3294           18.73s
         6           0.3281           19.07s
         7           0.3271           19.05s
         8           0.3259           19.01s
         9           0.3247           19.29s
        10           0.3236           19.21s
        11           0.3224           19.69s
        12           0.3213           19.79s
        13           0.3203           20.39s
        14           0.3192           20.60s
        15           0.3182           20.54s
        16           0.3172           20.28s
        17           0.3163           20.11s
        18           0.3154           19.94s
        19           0.3145           19.74s
        20           0.3136           19.54s
        21           0.3128           19.40s
        22           0.3119           19.28s
        23           0.3110           19.06s
        24           0.3102           18.90s
        25           0.3093           18.79s
        26           0.3085           18.64s
        27           0.3078           18.53s
        28           0.3070           18.47s
        29           0.3062           18.44s
        30           0.3053           18.34s
        31           0.3046           18.25s
        32           0.3038           18.20s
        33           0.3030           18.14s
        34           0.3023           18.10s
        35           0.3015           18.02s
        36           0.3009           17.91s
        37           0.3002           17.87s
        38           0.2996           17.82s
        39           0.2989           17.75s
        40           0.2981           17.68s
        41           0.2976           17.56s
        42           0.2969           17.51s
        43           0.2962           17.43s
        44           0.2956           17.39s
        45           0.2949           17.32s
        46           0.2943           17.23s
        47           0.2936           17.21s
        48           0.2930           17.12s
        49           0.2924           17.07s
        50           0.2918           17.00s
        51           0.2912           16.98s
        52           0.2906           17.00s
        53           0.2900           16.91s
        54           0.2894           16.90s
        55           0.2887           16.88s
        56           0.2881           16.83s
        57           0.2876           16.76s
        58           0.2871           16.70s
